department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,avg_training_score,,3,
Technology,Bachelors,Male,1,24,N/A,1,1,77,,1,
HR,Bachelors,Female,1,31,3,5,0,51,,1,
Sales & Marketing,Bachelors,Male,1,31,1,4,0,47,,1,
Procurement,Bachelors,Female,3,31,2,9,0,65,,1,
Finance,Bachelors,Male,1,30,4,7,0,61,,1,
Procurement,Bachelors,Male,1,36,3,2,0,68,,1,
Finance,Bachelors,Male,1,33,5,3,1,57,,1,
Analytics,Bachelors,Male,2,36,3,3,0,85,,1,
Technology,Masters & above,Male,1,51,4,11,0,75,,1,
Technology,Bachelors,Male,1,29,5,2,1,76,,1,
Sales & Marketing,Bachelors,Male,2,40,5,12,1,50,,1, 
Sales & Marketing,Masters & above,Male,1,40,3,10,0,46,,1,
Sales & Marketing,Masters & above,Female,1,34,3,4,0,52,,1,
Analytics,Bachelors,Male,1,37,3,10,0,82,,1,
Operations,Bachelors,Male,1,30,5,6,1,58,,1,
Sales & Marketing,Bachelors,Male,1,31,4,4,1,47,,1,
Operations,Bachelors,Female,1,26,5,3,0,56,,1,
Sales & Marketing,Bachelors,Male,1,40,5,6,1,50,,1,
Procurement,Bachelors,Female,1,49,3,7,1,64,,1,
Procurement,Bachelors,Male,1,27,2,5,0,65,,1,
Sales & Marketing,Masters & above,Male,1,37,5,3,0,47,,3,
Technology,Bachelors,Male,1,25,N/A,1,0,80,,1,
Technology,Masters & above,Male,1,30,1,3,0,83,,1,
Procurement,Masters & above,Male,1,41,3,4,0,76,,1,
Finance,Bachelors,Female,1,29,4,6,1,58,,1,
Operations,Bachelors,Male,1,33,3,7,1,62,,1,
Sales & Marketing,Masters & above,Male,1,34,4,6,1,50,,1,
Analytics,Bachelors,Male,1,34,3,3,1,87,,1,
Operations,Bachelors,Male,1,52,1,10,0,61,,1,
Sales & Marketing,Bachelors,Male,1,30,2,3,0,50,,1,
Analytics,Masters & above,Male,2,34,4,7,0,87,,1,
Sales & Marketing,Bachelors,Male,2,43,1,14,0,52,,3,
Technology,Bachelors,Male,1,29,N/A,1,1,85,,1,
Sales & Marketing,Bachelors,Female,1,35,3,3,1,52,,1,
Technology,Masters & above,Male,4,40,3,12,0,77,,1,
Technology,Bachelors,Male,2,33,4,9,0,83,,1,
Sales & Marketing,Masters & above,Male,1,30,3,2,1,55,,1,
Sales & Marketing,Bachelors,Female,2,42,1,3,1,46,,1,
Sales & Marketing,Bachelors,Male,3,29,1,3,0,51,,3,
Analytics,Bachelors,Male,1,25,N/A,1,0,88,,1,
Analytics,Bachelors,Male,1,26,5,4,1,90,,1,
Sales & Marketing,Bachelors,Male,1,27,2,3,0,52,,1,
